"Timestamp","Name:","Email:","Rank from 1 (first choice) to 5 (fifth choice) [First choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Second choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Third choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Fourth choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Fifth choice?]","Times available Monday?","Times available Tuesday?","Times available Wednesday?","Times available Thursday?","Times available Friday?"
"2019/09/23 3:50:33 PM AST","15","","Group B","Group C","Group E","Group A","Group D","M 9-10;M 930-1030;M 10-11;M 1-2;M 130-230;M 2-3;M 330-430;M 4-5","T 1030-1130;T 11-12;T 1130-1230;T 12-1;T 1230-130;T 3-4;T 330-430;T 4-5","W 930-1030;W 10-11;W 1230-130;W 330-430;W 4-5","R 9-10;R 930-1030;R 1130-1230;R 12-1;R 1230-130;R 2-3;R 230-330","F 930-1030;F 10-11;F 1130-1230;F 330-430;F 4-5"
"2019/09/23 3:51:07 PM AST","9","","Group E","Group B","Group D","Group A","Group C","M 9-10;M 930-1030;M 10-11;M 1030-1130;M 11-12;M 3-4;M 330-430;M 4-5","T 9-10;T 930-1030;T 10-11;T 1-2;T 130-230;T 2-3;T 230-330;T 3-4","W 9-10;W 930-1030;W 10-11;W 1030-1130;W 11-12;W 3-4;W 330-430;W 4-5","R 9-10;R 930-1030;R 10-11;R 1-2;R 130-230;R 2-3;R 230-330;R 3-4","F 9-10;F 930-1030;F 10-11;F 1030-1130;F 11-12;F 3-4;F 330-430;F 4-5"
"2019/09/23 3:52:38 PM AST","16","","Group E","Group D","Group C","Group B","Group A","M 9-10;M 930-1030;M 1130-1230;M 12-1;M 1230-130;M 2-3;M 4-5","T 11-12;T 1130-1230;T 230-330;T 3-4;T 330-430;T 4-5","W 10-11;W 1030-1130;W 11-12;W 1130-1230;W 12-1;W 330-430;W 4-5","R 930-1030;R 10-11;R 1030-1130;R 11-12;R 2-3;R 230-330;R 3-4","F 10-11;F 1030-1130;F 11-12;F 1130-1230;F 130-230;F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
"2019/09/23 3:53:52 PM AST","19","","Group B","Group A","Group D","Group C","Group E","M 1130-1230;M 12-1;M 1230-130;M 1-2;M 130-230;M 2-3","T 9-10;T 930-1030;T 10-11;T 1030-1130;T 11-12;T 1130-1230","","R 1130-1230;R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 9-10;F 930-1030;F 10-11;F 1030-1130;F 11-12;F 1130-1230"
"2019/09/23 3:54:10 PM AST","10","","Group C","Group E","Group A","Group D","Group B","M 1-2;M 130-230;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 1030-1130;T 11-12;T 1130-1230;T 12-1;T 1230-130;T 1-2;T 130-230;T 2-3","W 1-2;W 130-230;W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 1030-1130;R 11-12;R 1130-1230;R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3","F 1-2;F 130-230;F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
"2019/09/23 3:54:36 PM AST","17","","Group E","Group A","Group C","Group D","Group B","M 930-1030;M 10-11;M 1030-1130;M 1230-130;M 2-3;M 230-330;M 3-4","T 9-10;T 930-1030;T 10-11;T 1-2;T 130-230;T 2-3;T 230-330;T 3-4","W 10-11;W 1030-1130;W 1130-1230;W 12-1;W 1-2;W 130-230;W 230-330;W 3-4","R 10-11;R 1030-1130;R 11-12;R 1-2;R 130-230;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 10-11;F 1030-1130;F 12-1;F 130-230;F 2-3;F 230-330;F 4-5"
"2019/09/23 3:54:41 PM AST","20","","Group C","Group B","Group A","Group D","Group E","M 9-10;M 930-1030;M 10-11;M 1030-1130;M 11-12;M 1130-1230","","W 1030-1130;W 11-12;W 1130-1230;W 12-1;W 1230-130;W 1-2;W 130-230;W 2-3","R 9-10;R 930-1030;R 10-11;R 1030-1130;R 11-12;R 1130-1230;R 12-1","F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
"2019/09/23 3:55:34 PM AST","11","","Group D","Group E","Group B","Group A","Group C","M 9-10;M 930-1030;M 10-11;M 1-2;M 130-230;M 2-3;M 230-330;M 3-4","T 10-11;T 1030-1130;T 11-12;T 1130-1230;T 12-1;T 1230-130;T 1-2;T 130-230;T 2-3","W 9-10;W 930-1030;W 10-11;W 1-2;W 130-230;W 2-3;W 230-330;W 3-4","R 10-11;R 1030-1130;R 11-12;R 1130-1230;R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3","F 9-10;F 930-1030;F 10-11"
"2019/09/23 3:56:30 PM AST","18","","Group E","Group D","Group B","Group A","Group C","M 9-10;M 930-1030;M 10-11;M 1030-1130;M 11-12;M 230-330;M 3-4;M 330-430;M 4-5","T 11-12;T 1130-1230;T 12-1;T 130-230;T 2-3;T 230-330","W 9-10;W 930-1030;W 10-11;W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 930-1030;R 10-11;R 1030-1130;R 1-2;R 130-230;R 2-3;R 230-330","F 9-10;F 930-1030;F 11-12;F 1130-1230;F 12-1;F 3-4;F 330-430;F 4-5"
"2019/09/23 3:56:49 PM AST","12","","Group A","Group C","Group B","Group D","Group E","M 12-1;M 1230-130;M 1-2;M 130-230;M 2-3;M 230-330;M 3-4","T 9-10;T 930-1030;T 10-11;T 1030-1130;T 11-12;T 130-230;T 2-3;T 230-330;T 3-4;T 330-430;T 4-5","W 9-10;W 930-1030;W 130-230;W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 9-10;R 930-1030;R 10-11;R 1030-1130;R 11-12","F 9-10;F 930-1030;F 230-330;F 3-4;F 330-430;F 4-5"
